Object 1 , Object 2, Relations
 ,RCC8, 
g.73,g.48,dc
g.73,g.67,dc
g.73,g.65,dc
g.48,g.67,dc
g.48,g.65,dc
g.67,g.65,dc
 ,DE9IM : line_polygon, 
g.26.43.44,g.73,disjoint
g.26.43.44,g.48,disjoint
g.26.43.44,g.67,disjoint
g.26.43.44,g.65,disjoint
g.30.32,g.73,disjoint
g.30.32,g.48,disjoint
g.30.32,g.67,disjoint
g.30.32,g.65,disjoint
g.2,g.73,disjoint
g.2,g.48,disjoint
g.2,g.67,disjoint
g.2,g.65,disjoint
g.8,g.73,disjoint
g.8,g.48,disjoint
g.8,g.67,disjoint
g.8,g.65,disjoint
g.17,g.73,disjoint
g.17,g.48,disjoint
g.17,g.67,disjoint
g.17,g.65,disjoint
g.16,g.73,disjoint
g.16,g.48,disjoint
g.16,g.67,disjoint
g.16,g.65,disjoint
g.34,g.73,disjoint
g.34,g.48,disjoint
g.34,g.67,disjoint
g.34,g.65,disjoint
g.33,g.73,disjoint
g.33,g.48,disjoint
g.33,g.67,disjoint
g.33,g.65,disjoint
 ,leftRight, 
g.26.43.44,g.73,nonAdjacent
g.26.43.44,g.48,right
g.26.43.44,g.67,right
g.26.43.44,g.65,left
g.16,g.73,nonAdjacent
g.16,g.48,right
g.16,g.67,right
g.16,g.65,nonAdjacent
g.34,g.73,nonAdjacent
g.34,g.48,nonAdjacent
g.34,g.67,nonAdjacent
g.34,g.65,left
 ,opra, 
g.26.43.44,g.30.32,half_left
g.26.43.44,g.2,nonAdjacent
g.26.43.44,g.8,nonAdjacent
g.26.43.44,g.17,half_left
g.26.43.44,g.16,half_right
g.26.43.44,g.34,half_left
g.26.43.44,g.33,half_right
g.30.32,g.2,nonAdjacent
g.30.32,g.8,nonAdjacent
g.30.32,g.17,nonAdjacent
g.30.32,g.16,nonAdjacent
g.30.32,g.34,front_of
g.30.32,g.33,right_of
g.2,g.8,right_of
g.2,g.17,nonAdjacent
g.2,g.16,back_of
g.2,g.34,nonAdjacent
g.2,g.33,nonAdjacent
g.8,g.17,nonAdjacent
g.8,g.16,right_of
g.8,g.34,nonAdjacent
g.8,g.33,nonAdjacent
g.17,g.16,right_of
g.17,g.34,nonAdjacent
g.17,g.33,nonAdjacent
g.16,g.34,nonAdjacent
g.16,g.33,nonAdjacent
g.34,g.33,sharp_right_of
 ,streetTopology, 
g.26.43.44,g.30.32,connected
g.26.43.44,g.2,disconnected
g.26.43.44,g.8,disconnected
g.26.43.44,g.17,connected
g.26.43.44,g.16,connected
g.26.43.44,g.34,connected
g.26.43.44,g.33,connected
g.30.32,g.2,disconnected
g.30.32,g.8,disconnected
g.30.32,g.17,disconnected
g.30.32,g.16,disconnected
g.30.32,g.34,connected
g.30.32,g.33,connected
g.2,g.8,connected
g.2,g.17,disconnected
g.2,g.16,connected
g.2,g.34,disconnected
g.2,g.33,disconnected
g.8,g.17,disconnected
g.8,g.16,connected
g.8,g.34,disconnected
g.8,g.33,disconnected
g.17,g.16,connected
g.17,g.34,disconnected
g.17,g.33,disconnected
g.16,g.34,disconnected
g.16,g.33,disconnected
g.34,g.33,connected
 ,linearOrdering, 
g.48,g.67,before
g.48,g.65,before
g.67,g.65,before
