Object 1 , Object 2, Relations
 ,RCC8, 
g.53.54.55.56,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,dc
g.53.54.55.56,g.49,dc
g.53.54.55.56,g.48,dc
g.53.54.55.56,g.50,dc
g.53.54.55.56,g.51,dc
g.53.54.55.56,g.47,dc
g.53.54.55.56,g.82,dc
g.53.54.55.56,g.81,dc
g.53.54.55.56,g.69,dc
g.53.54.55.56,g.59,dc
g.53.54.55.56,g.72,dc
g.53.54.55.56,g.71,dc
g.53.54.55.56,g.70,dc
g.53.54.55.56,g.60,dc
g.53.54.55.56,g.61,dc
g.53.54.55.56,g.57,dc
g.53.54.55.56,g.58,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.49,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.48,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.50,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.51,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.47,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.82,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.81,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.69,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.59,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.72,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.71,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.70,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.60,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.61,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.57,dc
g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,g.58,dc
g.49,g.48,dc
g.49,g.50,dc
g.49,g.51,dc
g.49,g.47,dc
g.49,g.82,dc
g.49,g.81,dc
g.49,g.69,dc
g.49,g.59,dc
g.49,g.72,dc
g.49,g.71,dc
g.49,g.70,dc
g.49,g.60,dc
g.49,g.61,dc
g.49,g.57,dc
g.49,g.58,dc
g.48,g.50,dc
g.48,g.51,dc
g.48,g.47,dc
g.48,g.82,dc
g.48,g.81,dc
g.48,g.69,dc
g.48,g.59,dc
g.48,g.72,dc
g.48,g.71,dc
